SNo,Project Name,Scheme Name,PI Details
181,Characterization of Novel Mutants of Human Protein Z-dependent Protease Inhibitor (ZPI):Potential Therapeutics for Hemophilia,Science and Engineering Research Board - CRGX - Core Research Grant,Manoj N
182,Wind Generation of Ocean Waves: from Primary Instabilities to Cyclogenesis,Science and Engineering Research Board - Scientific and Useful Profound Research Advancement (SUPRA),Anubhab Roy
183,All-Inorganic Solid-State Integrated Halide Perovskite (X)-Ferroelectric-Oxide (O) Bulk Heterojunction (XOBHJ) Solar Cells,Science and Engineering Research Board - Scientific and Useful Profound Research Advancement (SUPRA),Sudakar Chandran
184,Rational Metabolic Engineering Strategies for Enhanced Production of Camptothecin in Nothapodytes Nimmoniana Plant cells,Science and Engineering Research Board - SERB – POWER Research Grants,Smita Srivastava
185,Atomically Precise Materials for Sustainable Water and Energy Harvesting,Science and Engineering Research Board - Scientific and Useful Profound Research Advancement (SUPRA),Pradeep T
186,Esstablishing Solid State and Liquid State Based Novel Manufacturing Technologies for Recycling Magnesium in to High Performance Sheets,Science and Engineering Research Board - Scientific and Useful Profound Research Advancement (SUPRA),Sushanta Kumar Panigrahi
187,Attosecond Quantum Electronics of van der Waals Systems,Science and Engineering Research Board - CRGX - Core Research Grant,Sivarama Krishnan
188,Quantum Device with Weyl Semimetals,Science and Engineering Research Board - SRGX Start-Up Research Grant,Prasanta Kumar Muduli
189,A Wearable Device for Core Body Temperature Monitoring using Microwave Radiometry,Science and Engineering Research Board - Special Call for Proposal,Kavitha Arunachalam
190,MOF integrated Smart Textiles (Sweat pads) for Stress Hormone Monitoring,Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Ramanathan S
191,Correlative microscopy of grain boundaries in NdFeB magnets decorated by combinatorially designed low melting eutectics,Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Pradeep K G
192,Development of a Comprehensive Computational Model of Multisensory Integration in the Hippocampal Spatial Cell Network,Science and Engineering Research Board - CRGX - Core Research Grant,Srinivasa Chakravarthy V
193,3D Microwave imaging of Locally Advanced Breast Cancer (LABC) to aid in hyperthermia treatment,Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Kavitha Arunachalam
194,Lab to Fab Non-Fullerene Organic Photovoltaic Modules with Self-Organized Cathode Interlayer via Green solvent and Open air Printing,Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Debdutta Ray
195,Existence and Uniqueness of Fourth order SPDEs in the space of Tempered Distributions,Science and Engineering Research Board - SRGX Start-Up Research Grant,Barun Sarkar
196,Two-dimensional Materials Based Optical Fiber Bragg Grating Biosensor for Early Cancer Detection,Science and Engineering Research Board - SRGX Start-Up Research Grant,Shivananju B N
197,Solvent Responsive Expandable Soft Structures: A 4D Printing Approach,Science and Engineering Research Board - CRGX - Core Research Grant,Pijush Ghosh
198,Effect of Electric Vehicles (EVs) and EV Lanes on Road Capacity and Fundamental Diagrams,Science and Engineering Research Board - CRGX - Core Research Grant,Bhargava Rama Chilukuri
199,Development of a numerical method for calculating the anti-symmetric responses of flexible ship hulls and large floating offshore structures and the experimental investigation of slamming loads,Science and Engineering Research Board - CRGX - Core Research Grant,Suresh Rajendran
200,Estimating differential metabolic functionality in antibiotic-resistant Helicobacter pylori through integrated experimental and computational analysis,Science and Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Karthik Raman
201,Flexible ceramic fiber based triboelectric nanogenerators for wearable smart gadgets,Science and Engineering Research Board - CRGX - Core Research Grant,Ravi Kumar N V
202,Multicomponent magnetic materials: Tuning the functionality and understanding the magnetic ground-state,Science and Engineering Research Board - CRGX - Core Research Grant,Nirmala R
203,Design and Synthesis of Novel Axial Chiral Phase Transfer Catalysts for Asymmetric Synthesis,Science and Engineering Research Board - CRGX - Core Research Grant,Sekar G
204,Synthesis of Highly Monodispersed Anisotropic Gold Nanostructures Via Single Microfluidic Platform and its Use for Intracellular Biomolecular Delivery,Science and Engineering Research Board - CRGX - Core Research Grant,Tuhin Subhra Santra
205,Synthesis of Highly Monodispersed Anisotropic Gold Nanostructures Via Single Microfluidic Platform and its Use for Intracellular Biomolecular Delivery,Science and Engineering Research Board - CRGX - Core Research Grant,Tuhin Subhra Santra
206,Design and development of multi-annular burner handling fuel blends for direct flame impingement heat transfer application,Science and Engineering Research Board - CRGX - Core Research Grant,Raghavan V
207,Theoretical investigation of magnetic microbubbles for biomedical applications,Science and Engineering Research Board - CRGX - Core Research Grant,Ganesh Tamadapu
208,Near Field Microwave Active Phased Array Antenna Design and Pattern Synthesis for Targeted Tissue Heating,Science and Engineering Research Board - CRGX - Core Research Grant,Kavitha Arunachalam
209,Combinatorial design of low-melting eutectics for grain boundary decoration towards development of advanced permanent magnets,Science and Engineering Research Board - CRGX - Core Research Grant,Pradeep K G
210,Construction of a Collinear Velocity Map Imaging Spectrometer,Science and Engineering Research Board - CRGX - Core Research Grant,Aravind G
211,Effect of ground on fixed and rotary wing aircraft dynamics,Science and Engineering Research Board - CRGX - Core Research Grant,Ranjith Mohan
212,"A Comprehensive Framework for the Quantification of Workability of Bituminous Mixtures Using Rheology, Tribology and Surface Tension",Science and Engineering Research Board - CRGX - Core Research Grant,Murali Krishnan J
213,Green synthesis of robust surfaces for sustained drop condensation and anti-icing applications: Experiments and data-driven modelling,Science and Engineering Research Board - CRGX - Core Research Grant,Pallab Sinha Mahapatra
214,Low surface area carbon composite anodes for all-solid-state Li-ion battery systems,Science and Engineering Research Board - Empowerment and Equity Opportunities for Excellence in Science,T Palaniselvam
215,"Electrical and electrochemical modelling for routine, non-destructive testing of cathodic protection system in reinforced concrete structures",Science and Engineering Research Board - CRGX - Core Research Grant,Radhakrishna G Pillai
216,DEVELOPMENT OF A NOVEL LIMITED CHANNEL SURFACE WAVE TEST METHOD,Science and Engineering Research Board - CRGX - Core Research Grant,Tarun Naskar
217,Prime Minister's Fellowship for Doctoral Research to Ms. Aditi G Muddebihalkar (Government Part),Science and Engineering Research Board - Prime Minister Fellow,Hamsa Priya Mohana Sundaram
218,Development of High Power Dense Permanent Magnet Assisted Multi Phase Synchronous Reluctance Machine for Electric Vehicle Applications,Science and Engineering Research Board - CRGX - Core Research Grant,Kamalesh Hatua
219,4d/5d Transition Metal Ion Based Ordered Double Perovskite Thin Films on (111) Oriented Substrates: Novel Strongly Correlated Oxides,Science and Engineering Research Board - CRGX - Core Research Grant,Santhosh P N
220,Subnormality and Complete Contractivity of $\mathbb K$-homogeneous tuple of operators,Science and Engineering Research Board - MATR - MATHEMATICAL RESEARCH IMPACT-CENTRIC SUPPORT (MATRICS) SCHEME,Surjit Kumar
221,Towards Low-Symmetry Cages/Conjoined-Cages,Science and Engineering Research Board - CRGX - Core Research Grant,Dillip Kumar Chand
222,Synthesis and physical properties of some novel geometrically frustrated quantum magnets,Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Panchanana Khuntia
223,"Probing the phase of reheating through primordial black holes, dark matter, and gravitational waves",Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Sriramkumar L
224,Identifying the signatures of quantum gravity through quantum entanglement,Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Dawood Kothawala
225,Models to quantify and correct precision related errors in CFD Simulations of Turbulent flows,Science and Engineering Research Board - MATR - MATHEMATICAL RESEARCH IMPACT-CENTRIC SUPPORT (MATRICS) SCHEME,Vadlamani Nagabhushana Rao
226,Transition-Metal-Catalyzed Asymmetric C-H Functionalization of Organic Molecules,Science and Engineering Research Board - CRGX - Core Research Grant,Jeganmohan M
227,Study of Multicaloric effect in low dimensional mixed spinel oxide systems for solid state refrigeration and energy storage applications,Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Nirmala R
228,Thermodynamics of Active Matter: Role of Fluid-Mediated Interactions,Science and Engineering Research Board - SRGX Start-Up Research Grant,Rajesh Singh
229,Carbonation-induced corrosion and service life of steel-concrete systems with limestone calcined clay cement (LC3) and corrosion inhibitors,Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Radhakrishna G Pillai
230,Unraveling the mechanism of mutant p53-p73 interactions: Useful insights for rational drug design against cancer using computational tools,Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Sanjib Senapati
231,Prostate Imaging: Indigenous Technology platform with Advanced Elastography Modes using Trans-rectal Ultrasound (TRUS),Science and Engineering Research Board - CRGX - Core Research Grant,Arun Kumar Thittai
232,Electrochemical advanced oxidation processes for the destruction of PFAS in water,Science and Engineering Research Board - NPDF - NATIONAL POST DOCTORAL FELLOWSHIP,Indumathi Manivannan Nambi
233,Frequency Modulated Press-fit Magneto-Electric (ME) Composite: Configuration to Application,Science and Engineering Research Board - CRGX - Core Research Grant,Arockiarajan A
234,Computational Studies on the Chemical Reactions at the Liquid-Liquid Interface: Applications to Cellulose-based Biofuel Production,Science and Engineering Research Board - CRGX - Core Research Grant,Sooraj K
235,K-theory of Hessenberg varieties,Science and Engineering Research Board - MATR - MATHEMATICAL RESEARCH IMPACT-CENTRIC SUPPORT (MATRICS) SCHEME,Uma V
236,Efficient Analysis and Optimizations for Parallel Applications,Science and Engineering Research Board - CRGX - Core Research Grant,Krishna Nandivada V
237,Chiral metal catalysts towards the synthesis of biodegradable polymers and co-polymers,Science and Engineering Research Board - CRGX - Core Research Grant,Debashis Chakraborty
238,Factorizing Matrices under Structural Constraints,Science and Engineering Research Board - MATR - MATHEMATICAL RESEARCH IMPACT-CENTRIC SUPPORT (MATRICS) SCHEME,Lakshmi Narasimhan Theagarajan
239,Towards Large Scale Conceptual Analysis and Design of Rotorcraft,United States Army International Technology Center - Others,Bharath Govindarajan M
240,Testing flavors of the early universe beyond vanilla models with cosmological observations,Indo French Centre for the Promotion of Advanced Research - Others,Sriramkumar L
241,"Research and Development of Low GWP Chemicals including Blends thereof, to be used as Alternatives to Substances controlled under the Montreal Protocol","Ministry of Environment, Forest and Climate Change - Others",Venkatarathnam G
242,6G: Sub-THz Wireless communication with Intelligent Reflecting Surfaces (IRS),Ministry of Electronics and Information Technology - R and D in IT/Electronics/CCBT -2354,Sankaran Aniruddhan
243,Centre on Hardware Security: Hardware-Security Entrepreneurship Research & Development,Ministry of Electronics and Information Technology - Cyber Security Projects (NCCC & Others) -0538,Chester Rebeiro
244,Capacity building for human resource development in Unmanned Aircraft System (Drone and related Technology),Ministry of Electronics and Information Technology - CAPACITY BUILDING AND SKILL DEVELOPMENT SCHEME (IT) - 4197,Murthy H S N
245,External Project for Placing the Travel Grant,Travel Grant - Others,DeanIcsr
246,Effect of ghee from indigenous cow milk on cognition and neuro-protection against Alzheimer's disease,Ministry of AYUSH - AYURGYAN Scheme,Amal Kanti
247,Weak Radiative Decays of Heavy Flavor Mesons,Science And Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Prafulla Kumar Behera
248,Development of Efficient Swarm Intelligence Based Optimization Algorithm using Fractional Calculus for Diagnosis of Muscle Disorders,Science And Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Vetrivel V
249,Design and Synthesis of Chiral Lewis Bases for the Enantioselective Trifluoromethylthiolative Functionalization of Alkenes and Polyenes,Science And Engineering Research Board - Special Call for Proposal,Anbarasan P
250,Cooperative manipulation and transportation using Mobile robots,Science And Engineering Research Board - SRGX Start-Up Research Grant,Bijo Sebastian
251,Towards Designing Photocurable Hyaluronic Acid-Based Disc Closure System for Lumbar Disc Herniation and Sciatica,Science And Engineering Research Board - SRGX Start-Up Research Grant,Greeshma Thrivikraman
252,Trading Graph Optimization Quality to Sub-Exponential Time,Science And Engineering Research Board - SRGX Start-Up Research Grant,Akanksha Agrawal
253,Multienzymatic Process for Delignification and Valorization of Lignin from Agroresidues to Value Added Products,Science And Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Sathyanarayana N Gummadi
254,Study of Nuclear Reactor Safety in the Context of Fast Breeder Reactors ((FBRs) : Sub-channel analysis vis-a-vis CFD Simulations),Science And Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Prasad Patnaik B S V
255,"Development of a functionally gradient ZrSi(N,O) corrosion-resistant coating to improve tribocorrosion performance on Ti6Al4V for hip implants",Science And Engineering Research Board - Empowerment and Equity Opportunities for Excellence in Science,Ramkumar P
256,Flexocaloric effect on flexible single crystalline ferroelectric oxide thin film,Science And Engineering Research Board - CRGX - Core Research Grant,Murugavel P
257,CsPbBr3 perovskite/transition metal di-chalcogenides based composite solar cell for enhanced power conversion efficiency,Science And Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Sudakar Chandran
258,Hydro-elastic investigation on performance analysis for a composite marine propeller,Science And Engineering Research Board - CRGX - Core Research Grant,Vijayakumar R
259,Infrastructure-free Localization in Dynamic Indoor Environments,Science And Engineering Research Board - SRGX Start-Up Research Grant,Ayon Chakraborty
260,Simultaneous reaction kinetics of RO₂ radicals with OH radicals using an integrated Cavity Ring Down Spectroscopy (CRDS) and Laser Induced Fluorescence (LIF) method,Science And Engineering Research Board - CRGX - Core Research Grant,Rajakumar B
261,DEVELOPMENT OF ABSORPTION ENHANCED MULTILAYERED STRUCTURE FOR REDUCING ELECTROMAGNETIC INTERFERENCE IN POWER ELECTRONICS,Science And Engineering Research Board - CRGX - Core Research Grant,Jayaganthan
262,Investigation of the mechanism of passive release of fungal spores from solid substrates,Science And Engineering Research Board - CRGX - Core Research Grant,Ravi Krishna R
263,Synthesis and Investigation of Quantum Spin Liquid Materials,Science And Engineering Research Board - CRGX - Core Research Grant,Panchanana Khuntia
264,Direct and Inverse Voronovskaya Results for the Sampling Operators​,Science And Engineering Research Board - MATR - MATHEMATICAL RESEARCH IMPACT-CENTRIC SUPPORT (MATRICS) SCHEME,Sathish Kumar A
265,AI Based Smart Eye for Visually Challenged Persons,Science And Engineering Research Board - TARE - TEACHERS ASSOCIATESHIP FOR RESEARCH EXCELLENCE,Ravindran B
266,Bossel-Danners Type Inequalities for Symmetric Domains with Holes,Science And Engineering Research Board - MATR - MATHEMATICAL RESEARCH IMPACT-CENTRIC SUPPORT (MATRICS) SCHEME,Anoop
267,Development of Ultra-High-Performance Concretes (UHPCs) for Road/Bridge Infrastructure in Urban Areas,Kerala Highway Research Institute - Others,Surender Singh
268,Operational Research Program (ORP) of Tamil Nadu Health System Reform Program for 22​-23,Tamil Nadu Health System Reform Program - Others,Muraleedharan V R
269,Structural Health Monitoring and Assessment of Concrete Bridge Girders,"Ministry of Road Transport and Highways - DEVELOPMENT, PLANNING, QUALITY ASSURANCE, RESEARCH AND TRAINING - SCHEMES FINANCED FROM CRF -0842",Saravanan U
270,Application of Machine learning/Deep learning techniques in tile extraction of Scientific Parameters from DFRS dat,Indian Space Research Organisation - SPACE SCIENCE PROMOTION,Sheetal Kalyani
271,Centre for Indian Knowledge Systems,All India Council for Technical Education - INDIAN KNOWLEDGE SYSTEMS -3921,Aditya Kolachana
272,Physics Informed Neural Networks for Modeling Heterogeneous Subsurface Systems,ExxonMobil Upstream Research Company - Others,Chandra Annavarapu
273,Affordable Sustainable Housing Accelerator - India (ASHA-India),Ministry of Housing and Urban Affairs - OTHER ITEMS OF CENTER COMPONENTS-PMAY URBAN -1988,Meher Prasad A
274,Exploration of the use to Model Degradation of Batteries used in Electric Vehicles using the Unified Mechanics Theory,UB (University at Buffalo) Electronic Packaging Laboratory - Others,Lakshmana Rao C
275,IDRBT-IITM Research Fellows and Research Assistantship Fellowship Grant for 5 Years,Institute for Development & Research in Banking Technology - Others,Krishna Nandivada V
276,Unnat Bharat Abhiyan - SEG - Sanitary & solid waste management,Ministry of Education - UNNAT BHARAT ABHIYAN -3350,Indumathi Manivannan Nambi
277,PMRF - Research Grant and Fellowship for PMRF Granting Institute,Ministry of Education - PM Research Fellowship -3268,Dean Academic Research
278,Implementation of the Scheme Prime Ministers Research Fellows (PMRF) at IIT Madras,Ministry of Education - PM Research Fellowship -3268,Dean Academic Research
279,IOE Research Centres,Ministry of Education - Institute of Eminence Research Initiative Projects,DeanIcsr
280,IOE Research Projects,Ministry of Education - Institute of Eminence Research Initiative Projects,DeanIcsr
281,Critical Transitions in Complex Systems,Ministry of Education - Institute of Eminence Research Initiative Projects,Sujith R I
282,NDE 5.0 – Industrial Assets and Process Management,Ministry of Education - Institute of Eminence Research Initiative Projects,Krishnan Balasubramanian
283,Centre of Excellence on Molecular Materials and Functions,Ministry of Education - Institute of Eminence Research Initiative Projects,Pradeep T
284,Technologies for Low Carbon and Lean Construction,Ministry of Education - Institute of Eminence Research Initiative Projects,Manu Santhanam
285,Healthcare and Assistive Technologies,Ministry of Education - Institute of Eminence Research Initiative Projects,Mohanasankar S
286,Maritime Experiments to Maritime Experience,Ministry of Education - Institute of Eminence Research Initiative Projects,Sriram V
287,"Centre for Quantum Information, Communication and Computing",Ministry of Education - Institute of Eminence Research Initiative Projects,Anil Prabhakar
288,Sports Science and Analytics,Ministry of Education - Institute of Eminence Research Initiative Projects,Mahesh Panchagnula
289,Centre for Soft Matter,Ministry of Education - Institute of Eminence Research Initiative Projects,Basavaraja Madivala Gurappa
290,"Center of Excellence in RF, Analog, and Mixed Signal ICs",Ministry of Education - Institute of Eminence Research Initiative Projects,Shanthi Pavan
291,Atomistic Modelling and Materials Design,Ministry of Education - Institute of Eminence Research Initiative Projects,Ranjit Kumar Nanda
292,Geophysical Flows Lab,Ministry of Education - Institute of Eminence Research Initiative Projects,Manikandan M S
293,Centre for Cancer Genomics and Molecular Therapeutics,Ministry of Education - Institute of Eminence Research Initiative Projects,Mahalingam S
294,Quantum Center for Diamond and Emergent Materials,Ministry of Education - Institute of Eminence Research Initiative Projects,Ramachandra Rao MS
295,Energy Consortium,Ministry of Education - Institute of Eminence Research Initiative Projects,Satyanarayanan Seshadri
296,CCE Conference Workshop Short Course Projects under Sponsored,Conference - Others,Andrew Thangaraj
297,1156: KAS: Keeping Analysis Stable,IBM Canada Limited - IBM Advanced Studies Fellowship,Krishna Nandivada V
298,"Examining the impact of aerosol, urbanisation and irrigation on extreme rainfall occurrences over India using cloud-resolving simulations",Asia-Pacific Network for Global Change Research (APN) - Others,Chandan Sarangi
299,Cancer Tissue Biobanking and Identification of Comprehensive Genomic Landscape of Cancers that are prevalent in Indian Population (Grant),Karkinos Healthcare Private Limited - Others,Mahalingam S
300,Pravartak Fellowship Grant,IITM Pravartak Technologies Foundation - Others,DeanIcsr
301,Pravartak Research Grant for Dr. Mohansankar Sivaprakasam,IITM Pravartak Technologies Foundation - Others,Mohanasankar S
302,Pravartak Research Grant for Dr.Mangala Sunder,IITM Pravartak Technologies Foundation - Others,Mangala Sunder K
303,Pravartak Research Grant for Dr. Sridharakumar Narasimhan,IITM Pravartak Technologies Foundation - Others,Sridharakumar Narasimhan
304,Pravartak Research Grant for Dr. Andrew Thangaraj,IITM Pravartak Technologies Foundation - Others,Andrew Thangaraj
305,"Sangam: Three-way handshake between Static Compiler, JIT Compiler and Hardware",Intel Corporation - Others,Krishna Nandivada V
306,Web M.tech Online Programme - Aerospace Engineering,Programme - Centre for Outrech and Digital Education - Others,Sameen A
307,MTech in Artificial Intelligence,Programme - Centre for Outrech and Digital Education - Others,Sridharakumar Narasimhan
308,Inter Discipline - Quantum Science,Programme - Centre for Outrech and Digital Education - Others,Anil Prabhakar
309,Mechanical Design - Mechanical Engineering,Programme - Centre for Outrech and Digital Education - Others,Krishnakannan
310,Automotive Technology - Mechanical Engineering,Programme - Centre for Outrech and Digital Education - Others,Manivannan P V
311,Information Technology - Computer Science,Programme - Centre for Outrech and Digital Education - Others,Chester Rebeiro
312,Web M.tech Online Programme - Electrical Engineering - VLSI,Programme - Centre for Outrech and Digital Education - Others,David Koilpillai
313,Post-Graduate Diploma Program in Bridge Engineering (PGDPBE),Programme - Centre for Outrech and Digital Education - Others,Rupen Goswami
314,Construction Technology & Management (CT&M),Programme - Centre for Outrech and Digital Education - Others,Ramamurthy K
315,Visionary Leadership In Manufacturing Programme (PGPEX-VLM),Programme - Centre for Outrech and Digital Education - Others,Thenmozhi M
316,Investigate the Role of Somatostatin in Facilitating Excitation-inhibition Balance in Retinal Circuits,Wellcome Trust - Others,Santhosh
317,Signal Analysis Problems,Ministry of Defence - Others,Devendra Jalihal
318,Pilot Implementation of Permeate IOR and EOR: Focused high energy pressure waves from propellant burning coupled with pressure build up from shaped charges in a perforation tunnel for the optimized recovery in a tight oil and gas reservoir,Directorate General of Hydrocarbons - Others,Rajesh R Nair
319,Development of Sub Systems and Components for the UAV Ecosystem,Ublifly Technologies Private Limited - Others,Chakravarthy S R
320,Dissociative Ionization and photo Detachment of Interstellar Molecules and Chiral Anions,Indian Space Research Organisation - SPACE SCIENCE PROMOTION -2792,Aravind G
321,Optimization of the post build heat treatment schedule to achieve balanced high temperature mechanical properties while mitigating mechanical anisotropy in additively manufactured Inconel 718,Indian Space Research Organisation - SPACE SCIENCE PROMOTION -2792,Ravi Sankar K
322,Development of therapeutic strategies to mitigate oxidative stress and cytoskeletal damage in astronauts for the Gaganyaan space mission,Indian Space Research Organisation - SPACE SCIENCE PROMOTION -2792,Swathi Sudhakar
323,Extension of ISRO Flow Solver PRAVAHA to Flows Involving Chemical and Vibrational Non Equilibrium,Indian Space Research Organisation - SPACE SCIENCE PROMOTION -2792,Shankar Ghosh
324,Enhancement of the anti–magnetic property for Watches,Titan Company Limited - Others - Industry,Boby George
325,Founding Member of the Energy Consortium,Aditya Birla Science and Technology Company Private Limited - Others - Industry,Satyanarayanan Seshadri
326,Quasi-static Cyclic Tests on RC Shear Walls with and without Corrosion Effect,Bhabha Atomic Research Centre - Others - Industry,Apparao G
327,Repeatability Experiments for High Frequency Impact WEA,Kluber Lubrication Munchen SE & CO.KG - Others - Industry,Ramkumar P
328,Design and development of High power inverter for high performance electric vehicle.,Semtronics limited - Others - Industry,Kamalesh Hatua
329,Synthesizing multiple realistic image degradations,KLA Corporation - Others - Industry,Rajagopalan A N
330,Optimization of High Speed Railway (HSR) Viaduct Design,High Speed Railways Innovation Center Trust - Others - Industry,Rupen Goswami
331,Google PhD Fellowship for Tahir Javed,Google Asia Pacific Private Limited - Others - Industry,Mitesh Khapra
332,Aging studies on Indigenous Adhesives and sealants,Defence Research and Development Laboratory - Others - Industry,Velmurugan R
333,Development of Model Predictive Control(MPC) based dynamic controller for PFBR Steam generator inspection system(PSGIS) robotic arm path planning and control in real time,Indira Gandhi Centre For Atomic Research - Others - Industry,Manivannan P V
334,Energy Consortium - Shell,Shell India Markets Private Limited - Others - Industry,Satyanarayanan Seshadri
335,"Pyrolysis kinetics of biomass,pretreated biomass and solid waste mixtures.",Shell India Markets Private Limited - Others - Industry,Vinu R
336,Qualcomm Faculty Award,"Qualcomm Technologies, Inc. - Others - Industry",Rajagopalan A N
337,To Study Surface Mining Drill Motor Table Pad Wear Behaviour and Develop Life Prediction Numerical Model,Caterpillar India Engineering Solutions Private Limited - Others - Industry,Ramkumar P
338,Experimental Study of Self-Loosening of Bolted Joints,Caterpillar India Engineering Solutions Private Limited - Others - Industry,Arockiarajan A
339,Annual Maintenance Contract of Vessel Traffic Management System and development of indigenous VTMIS software,Paradip Port Trust - Others - Industry,Murali K
340,Indigenous Vessel Traffic Management Information System for Paradip Port Authority,Paradip Port Trust - Others - Industry,Murali K
341,Multi-task learning and Meta learning techniques for MRI,Wipro GE Healthcare Private Limited - Others - Industry,Mohanasankar S
342,"Biomass Fuel Characterization and Optimization of Biomass Pelletization, Pellet Combustion and its Performance for Coal-Biomass Fuel Blends",Saint Gobain India Private Limited (Research & Development) - Others - Industry,Vinu R
343,Molecular Weight Reduction of Biopolymer- Phase-2,Apex Laboratories Private Limited - Others - Industry,Baskaran S
344,Structural Analysis of various capacity tanks,Novarius Global (India) Private Limited - Others - Industry,Arockiarajan A
345,MDI-DPS-QKD,Bharat Electronics Limited - Others - Industry,Anil Prabhakar
346,Development and implementation of Indigenous Smart Docking Aid for JNPT.,Jawaharlal Nehru Port Trust - Others - Industry,Murali K
347,"Supply, installation, integration and commissioning of three Nos. Smart Buoys at JNPT",Jawaharlal Nehru Port Trust - Others - Industry,Murali K
348,Development of Real Time Under Keel Clearance (RT-UKC) tool for Jawaharlal Nehru port Authority,Jawaharlal Nehru Port Trust - Others - Industry,Murali K
349,Professional consultancy services for proof checking of blast proof door subjected to UNDEX,Larsen & Toubro Limited - Others - Industry,Alagappan Ponnalagu
350,Carbonation And Carbonation Induced Corrosion In Concretes With Various Supplementary Cementitious Materials,Holcim Innovation Center - Others - Industry,Radhakrishna G Pillai
351,Operation and maintenance of VTS along with development of indigenous VTMIS software for Kamarajar Port Limited,Kamarajar Port Limited - Others - Industry,Murali K
352,Skin Microbiome Systems Biology: Unravelling Metabolic Capabilitiesof Microbes in Communities,Unilever Industries Private Limited - Others - Industry,Karthik Raman
353,Evaluation and Documentation Support of Establishment of Feasibility for PAUT/TOFD Inspection in lieu of RT for Navy Submarine Weld Inspection,Ministry of Defence - Others - Industry,Krishnan Balasubramanian
354,Development Of Coatings For Reduction Of Cavitation-Induced Noise In Marine Propeller,National Physical & Oceanographic Laboratory - Others - Industry,Dhiman Chatterjee
355,Energy Consortium - Saipem,Saipem India Projects Private Limited - Others - Industry,Satyanarayanan Seshadri
356,"Development of a Novel Multi-Swirl Plasma Reactor For Producing Hydrogen, Carbon and Ammonia",SEID AS - Others - Industry,Vinu R
357,Design of Synchronous Reluctance Machine for Industrial Application,Integrated Electric Company Private Limited - Others - Industry,Kamalesh Hatua
358,Establishment of 5G TB at MCTE How Phase 1,"Military College of Telecommunication Engineering,MHOW - Others - Industry",Ganti Radha Krishnan
359,Development of Just In Time Call for Jawaharlal Nehru Port Authority,Jawaharlal Nehru Port Trust - Others - Industry,Murali K
360,Supply and installation of Automatic tide guages at Jawaharlal Nehru Port Authority,Jawaharlal Nehru Port Trust - Others - Industry,Murali K
361,Smart Windshield –Wireless Powering of Systems and Integration of Sensorsand Displays,Saint Gobain India Private Limited (Research and Development) - Others - Industry,Parasuraman Swaminathan
362,Valorization of Waste Plastics to Valuable Crude/Chemicals through Catalytic Hydrothermal Liquefaction,SIA Terrawaste - Others - Industry,Vinu R
363,Development of DCMS or HiPIMS Coating recipe for various cutting tool applications,Addlife Coating Systems Private Limited - Others - Industry,Amitava Ghosh
364,Developing Strategies for Viral Deactivation using Molecular Modelling,Unilever Industries Private Limited - Others - Industry,Hamsa Priya Mohana Sundaram
365,Prime Minister's Fellowship for Doctoral Research to Ms. Aditi G Muddebihalkar (Industry Part),Unilever Industries Private Limited - Others - Industry,Hamsa Priya Mohana Sundaram
366,"R&D on Establishment of 5G gNB at C-DOT, Bangalore",Centre For Development Of Telematics - Others - Industry,Ganti Radha Krishnan
367,Catalytic hydrodeoxygenation of pyrolytic oil produced from copyrolysis of agricultural residue and plastic waste,Hindustan Petroleum Corporation Limited - Others - Industry,Vinu R
368,Study on non-metallic inclusion (NMI) evolution in Cr-Mo grade and SAE 52100 bearing steel and improving steel cleanliness,SLR Metaliks Limited - Others - Industry,Subramanya Sarma V
369,Cancer Tissue Biobanking and Identification of Comprehensive Genomic Landscape of Cancers that are prevalent in Indian Population,Karkinos Healthcare Private Limited - Others - Industry,Mahalingam S
370,"Generation of Hydraulic System Architecture and System Model based on requirement analysis, system modelling and simulation",Defence Research and Development Organisation - Others - Industry,Asokan Thondiyath
371,Investigation of wireless high-power transmission over long distances using non- diffracting microwave beams,Larsen & Toubro Limited - Others - Industry,Kavitha Arunachalam
